"","Plot_ID","Year","Block_Num","Treatment","Shrub_Interspace","Transect","EcolState","Shrub_Encroach","AMAL","AMPA","APRA","ARAD","ARPU9","ASNU4","ATCA2","BAAB","BAMU","BOAR","BOBA2","BOER4","BOWR","CHAL11","CHAMA15","CHIN2","CHSO","CIOC2","CRYPT","CYRE14","DALA3","DAPU7","DEPI","DIWI2","ECCR","ERAB2","ERAGR","ERDI4","Fuzzy_Bluegrass","GUSA2","HEPE","HOFFM","HOHU","HYWI","IPCO2","KALLS","LACO13","LACTU","LEPAB","LIAU4","MAPI","MOCE","MOVE","MUPO2","MUSQ","NAHI","PAHI5","PASP","PECTI","PLPA2","PORTU","PRGL2","RUME2","SPAN3","SPIN2","SPORO","TILA2","UNK","UNK_DICOT","UNK_MONO","URAR","VEEN","VUOC","Total","Shrub","Introduced_Annual_Forb","Introduced_Annual_Grass","Introduced_Perennial_Grass","Native_Annual_Forb","Native_Annual_Grass","Native_Perennial_Forb","Native_Perennial_Grass"
"1","1C_I1","2020","1","Control","Interspace","1","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,283.28611898017,0,0,0
"2","1C_I2","2020","1","Control","Interspace","1","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,566.57223796034,0,0,0,0,566.57223796034,0,0,0
"3","1C_I3","2020","1","Control","Interspace","2","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,566.57223796034,0,0,0,0,283.28611898017,0,0,283.28611898017
"4","1C_I4","2020","1","Control","Interspace","2","600","High",0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,849.85835694051,0,0,0,0,283.28611898017,283.28611898017,0,283.28611898017
"5","1C_I5","2020","1","Control","Interspace","3","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,283.28611898017,0,0,0
"6","1C_I6","2020","1","Control","Interspace","3","600","High",0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,566.57223796034,0,0,0,0,283.28611898017,0,283.28611898017,0
"7","1C_S1","2020","1","Control","Shrub","1","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,283.28611898017,0,0,0
"8","1C_S2","2020","1","Control","Shrub","1","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,283.28611898017,0,0,0
"9","1C_S3","2020","1","Control","Shrub","2","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.57223796034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.57223796034,0,283.28611898017,0,0,0,0,0,1416.43059490085,0,0,0,0,566.57223796034,0,0,566.57223796034
"10","1C_S4","2020","1","Control","Shrub","2","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,283.28611898017,0,0,0,0,0,849.85835694051,0,0,0,0,0,0,283.28611898017,283.28611898017
"11","1C_S5","2020","1","Control","Shrub","3","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849.85835694051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133.14447592068,0,0,0,0,0,283.28611898017,566.57223796034,0,0,0,0,2832.8611898017,1133.14447592068,0,0,0,849.85835694051,0,0,0
"12","1C_S6","2020","1","Control","Shrub","3","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.57223796034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,849.85835694051,0,0,0,0,849.85835694051,0,0,0
"13","2C_I1","2020","2","Control","Interspace","1","600","High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.28611898017,0,0,0,0,283.28611898017,0,0,0
